period,Industry,GDP
2015_Q3,Paper products,182.5
2015_Q4,Paper products,181.6
2016_Q1,Paper products,180.5
2016_Q2,Paper products,179.5
2016_Q3,Paper products,177.0
2016_Q4,Paper products,178.6
2017_Q1,Paper products,178.6
2017_Q2,Paper products,178.4
2017_Q3,Paper products,179.9
2017_Q4,Paper products,186.4
2018_Q1,Paper products,186.8
2018_Q2,Paper products,187.5
2018_Q3,Paper products,188.7
2018_Q4,Paper products,187.3
2019_Q1,Paper products,188.8
2019_Q2,Paper products,189.6
2019_Q3,Paper products,189.8
2019_Q4,Paper products,189.1
2020_Q1,Paper products,189.8
2020_Q2,Paper products,188.8
2015_Q1,Printing and related support activities,81.9
2015_Q2,Printing and related support activities,82.6
2015_Q3,Printing and related support activities,81.9
2015_Q4,Printing and related support activities,82.5
2016_Q1,Printing and related support activities,83.6
2016_Q2,Printing and related support activities,84.1
2016_Q3,Printing and related support activities,85.2
2016_Q4,Printing and related support activities,85.1
2017_Q1,Printing and related support activities,85.2
2017_Q2,Printing and related support activities,83.9
2017_Q3,Printing and related support activities,84.2
2017_Q4,Printing and related support activities,84.7
2018_Q1,Printing and related support activities,85.9
2018_Q2,Printing and related support activities,88.0
2018_Q3,Printing and related support activities,87.0
2018_Q4,Printing and related support activities,89.1
2019_Q1,Printing and related support activities,89.1
2019_Q2,Printing and related support activities,89.2
2019_Q3,Printing and related support activities,92.3
2019_Q4,Printing and related support activities,92.5
2020_Q1,Printing and related support activities,92.9
2020_Q2,Printing and related support activities,82.6
2015_Q1,Petroleum and coal products,510.7
2015_Q2,Petroleum and coal products,540.5
2015_Q3,Petroleum and coal products,508.4
2015_Q4,Petroleum and coal products,443.8
2016_Q1,Petroleum and coal products,378.7
2016_Q2,Petroleum and coal products,419.3
2016_Q3,Petroleum and coal products,434.4
2016_Q4,Petroleum and coal products,462.7
2017_Q1,Petroleum and coal products,521.3
2017_Q2,Petroleum and coal products,489.5
2017_Q3,Petroleum and coal products,500.0
2017_Q4,Petroleum and coal products,582.9
2018_Q1,Petroleum and coal products,645.2
2018_Q2,Petroleum and coal products,663.3
2018_Q3,Petroleum and coal products,681.7
2018_Q4,Petroleum and coal products,650.8
2019_Q1,Petroleum and coal products,591.5
2019_Q2,Petroleum and coal products,613.4
2019_Q3,Petroleum and coal products,574.1
2019_Q4,Petroleum and coal products,577.9
2020_Q1,Petroleum and coal products,545.6
2020_Q2,Petroleum and coal products,265.0
2015_Q1,Chemical products,789.3
